Organisation Name,Telephone Number,Website,Hostname,IP Address,Session Start Date/Time,Monitor Resolution,Operating System,Browser,Device Type,Longitude,Latitude,Country,Town / City,County / State,Registered Address,Entry Page,Keywords,Sources,PPC,Organic,Geolocated,Visit Duration,Page Visits
Qieguo,960-056-9140,http://www.qieguo.com,112.229.7.231,193.248.159.235,10-07-2019 22:38,800 * 600,5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML,Ubuntu Chromium/68.0.3440.106 HeadlessChrome/68.0.3440.106 Safari/537.36,Desktop,-119.699,45.836,United States,Boardman,Oregon,,ee-ip.org/services,,,0,0,0,0,www.ee-ip.org/services
Ctapda,247-305-2362,http://www.ctapda.com,115.93.46.138,188.181.30.60,10-07-2019 12:52,1920 * 1080,5.0 (Windows),Firefox,Desktop,11.5713,49.9456,Germany,Bayreuth,Bayern,,ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition
Energy,443-404-1418,http://www.energy.com,252.205.215.161,105.84.250.96,10-07-2019 10:04,1536 * 864,5.0 (Windows),Firefox,Desktop,6.87316,50.95802,Germany,Koeln-Vogelsang,Nordrhein-Westfalen,,ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition,,www.google.com,0,1,0,143,www.ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition --> www.ee-ip.org/articles
Nevidel,635-648-8612,http://www.nevidel.com,142.47.42.103,38.95.127.32,10-07-2019 10:02,2560 * 1440,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,12.58783,55.68051,Denmark,Kobenhavn,Hovedstaden,,ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software
Mydeco,228-031-6180,http://www.mydeco.com,235.243.60.203,55.203.160.244,10-07-2019 09:55,1536 * 864,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,14.5160884,46.0621634,Slovenia,Ljubljana,Ljubljana,,www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/101_Energy_Management_-_Step_by_Step,,,0,0,1,0,www.www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/101_Energy_Management_-_Step_by_Step
Ensogo,709-594-7090,http://www.ensogo.com,235.171.48.251,164.151.78.24,10-07-2019 08:31,1920 * 1080,5.0 (Windows),Firefox,Desktop,22.17399,60.43177,Finland,Turku,Varsinais-Suomi,,ee-ip.org,,www.google.com,0,1,0,15,www.ee-ip.org --> www.ee-ip.org/about --> www.ee-ip.org/about
Fanfou,925-725-7302,http://www.fanfou.com,67.238.76.252,132.181.68.224,10-07-2019 07:55,1680 * 1050,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.170 (Edition Campaign 21,Desktop,28.23565,61.04668,Finland,Lappeenranta,Etela-Karjala,,ee-ip.org/articles,,www.ee-ip.org,0,0,0,0,www.ee-ip.org/articles --> www.ee-ip.org/articles
Traffic,553-338-3147,http://www.traffic.com,25.236.187.151,51.28.29.67,10-07-2019 00:19,1920 * 1080,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,-122.16727,37.40432,United States,Palo Alto,California,,ee-ip.org/articles/detailed/87f4ab4b1d6c3c767a9dcae1e30b0808/the-technical-potential-of-large-and-industrial-heat-pumps,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/87f4ab4b1d6c3c767a9dcae1e30b0808/the-technical-potential-of-large-and-industrial-heat-pumps
Qieguo,960-056-9140,http://www.qieguo.com,51.81.210.39,3.236.130.159,09-07-2019 20:44,800 * 600,5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML,Ubuntu Chromium/68.0.3440.106 HeadlessChrome/68.0.3440.106 Safari/537.36,Desktop,-119.699,45.836,United States,Boardman,Oregon,,ee-ip.org/services,,,0,0,0,0,www.ee-ip.org/services
Macleans,330-883-6440,http://www.macleans.com,148.102.217.135,187.88.15.2,09-07-2019 17:36,1979 * 1113,5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0,Firefox,Desktop,10.39064,55.39624,Denmark,Odense,Syddanmark,,ee-ip.org/articles/detailed/219bd012d74c75756eb8340db1aa8b40/5-steps-for-a-robust-energy-strategy,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/219bd012d74c75756eb8340db1aa8b40/5-steps-for-a-robust-energy-strategy
Erento,403-839-5755,http://www.erento.com,142.208.152.93,173.200.44.216,09-07-2019 17:35,360 * 780,5.0 (Linux; Android 9; SM-A505FN) AppleWebKit/537,Version/4.0 Chrome/72.0.3626.121 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.ybrowser/2.16.0.1,Mobile,-1.1101707,52.6366827,United Kingdom,Leicester,Leicester,"54 Marsh Wall, London, E14 9TP",ee-ip.org/articles/detailed/1f94823dd90fe3a2b15e3b8f992c2d96/local-energy-aggregation-similarities-between-the-italian-hera-group-and-the-community-choice-energ,,www.google.com,0,1,1,0,www.ee-ip.org/articles/detailed/1f94823dd90fe3a2b15e3b8f992c2d96/local-energy-aggregation-similarities-between-the-italian-hera-group-and-the-community-choice-energ
Speedtv,638-877-9962,http://www.speedtv.com,243.100.181.40,106.244.149.180,09-07-2019 10:11,1152 * 720,5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0,Firefox,Desktop,12.3063,41.7755,Italy,Roma,Roma,,ee-ip.org/events/detailed/fe5ab9cc6d16bb52b19f099b4da8124c/sustainable-energy-investment-forum-financing-energy-efficiency-in-germany-france-and-austria,,www.google.it,0,1,0,0,www.ee-ip.org/events/detailed/fe5ab9cc6d16bb52b19f099b4da8124c/sustainable-energy-investment-forum-financing-energy-efficiency-in-germany-france-and-austria
Elhyaah,841-864-7008,http://www.elhyaah.com,225.15.249.57,181.105.64.168,09-07-2019 09:23,1366 * 768,5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,44.83368,41.69411,Georgia,Tbilisi,Tbilisi,,ee-ip.org/articles/detailed/7cc969ab93f80c76a54ecc339c544ae9/turkey-industrial-energy-efficiency-strategy,,www.google.com,0,1,0,110,www.ee-ip.org/articles/detailed/7cc969ab93f80c76a54ecc339c544ae9/turkey-industrial-energy-efficiency-strategy --> www.ee-ip.org/articles --> www.ee-ip.org/services --> www.ee-ip.org --> www.ee-ip.org/services --> www.ee-ip.org/articles --> www.ee-ip.org/articles/detailed/7cc969ab93f80c76a54ecc339c544ae9/turkey-industrial-energy-efficiency-strategy
