Organisation Name,Telephone Number,Website,Hostname,IP Address,Session Start Date/Time,Monitor Resolution,Operating System,Browser,Device Type,Longitude,Latitude,Country,Town / City,County / State,Registered Address,Entry Page,Keywords,Sources,PPC,Organic,Geolocated,Visit Duration,Page Visits
"Amazon.Com, Inc.",206-266-1000,https://www.amazon.com/,ec2-34-222-106-209.us-west-2.compute.amazonaws.com,34.222.106.209,"2019-07-10 22:38:44","800 * 600","5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML","Ubuntu Chromium/68.0.3440.106 HeadlessChrome/68.0.3440.106 Safari/537.36",Desktop,-119.699,45.836,"United States",Boardman,Oregon,,ee-ip.org/services,,,0,0,0,0,www.ee-ip.org/services
"Glen Dimplex Deutschland Gmbh","""+49 9221 709 0""",http://www.glendimplex.de,80.154.119.88,80.154.119.88,"2019-07-10 12:52:39","1920 * 1080","5.0 (Windows)",Firefox,Desktop,11.5713,49.9456,Germany,Bayreuth,Bayern,,ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition
"Streetscooter Gmbh","""+49 241 9900 23-0""",http://www.streetscooter.eu/,mail.streetscooter.eu,87.79.8.90,"2019-07-10 10:04:34","1536 * 864","5.0 (Windows)",Firefox,Desktop,6.87316,50.95802,Germany,Koeln-Vogelsang,Nordrhein-Westfalen,,ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition,,www.google.com,0,1,0,143,"www.ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition --> www.ee-ip.org/articles"
"Anders Andersen Cleaning","43 99 99 99",http://www.aaren.dk/,87.116.38.202,87.116.38.202,"2019-07-10 10:02:38","2560 * 1440","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,12.58783,55.68051,Denmark,Kobenhavn,Hovedstaden,,ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software
"Petrol Group","""+ 386 1 47 14 234""",www.petrol.eu/,193.77.161.11,193.77.161.11,"2019-07-10 09:55:56","1536 * 864","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,14.5160884,46.0621634,Slovenia,Ljubljana,Ljubljana,,www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/101_Energy_Management_-_Step_by_Step,,,0,0,1,0,www.www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/101_Energy_Management_-_Step_by_Step
"Turun Kaupunki","(02) 330 000",https://www.turku.fi,194.111.66.10,194.111.66.10,"2019-07-10 08:31:25","1920 * 1080","5.0 (Windows)",Firefox,Desktop,22.17399,60.43177,Finland,Turku,Varsinais-Suomi,,ee-ip.org,,www.google.com,0,1,0,15,"www.ee-ip.org --> www.ee-ip.org/about --> www.ee-ip.org/about"
"A Niemi Engineering Oy","""+358 40 5147 719""",http://www.niemiengineering.fi/,62-165-140-193.co.dnainternet.fi,62.165.140.193,"2019-07-10 07:55:16","1680 * 1050","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.170 (Edition Campaign 21",Desktop,28.23565,61.04668,Finland,Lappeenranta,Etela-Karjala,,ee-ip.org/articles,,www.ee-ip.org,0,0,0,0,"www.ee-ip.org/articles --> www.ee-ip.org/articles"
"Electric Power Research Institute",202-293-6184,https://www.epri.com,144.58.40.252,144.58.40.252,"2019-07-10 00:19:03","1920 * 1080","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,-122.16727,37.40432,"United States","Palo Alto",California,,ee-ip.org/articles/detailed/87f4ab4b1d6c3c767a9dcae1e30b0808/the-technical-potential-of-large-and-industrial-heat-pumps,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/87f4ab4b1d6c3c767a9dcae1e30b0808/the-technical-potential-of-large-and-industrial-heat-pumps
"Amazon.Com, Inc.",206-266-1000,https://www.amazon.com/,ec2-52-42-49-88.us-west-2.compute.amazonaws.com,52.42.49.88,"2019-07-09 20:44:16","800 * 600","5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML","Ubuntu Chromium/68.0.3440.106 HeadlessChrome/68.0.3440.106 Safari/537.36",Desktop,-119.699,45.836,"United States",Boardman,Oregon,,ee-ip.org/services,,,0,0,0,0,www.ee-ip.org/services
"Arla Foods Uk","""+45 8938 1000""",http://www.arlafoods.co.uk/,37.205.127.20,37.205.127.20,"2019-07-09 17:36:40","1979 * 1113","5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0",Firefox,Desktop,10.39064,55.39624,Denmark,Odense,Syddanmark,,ee-ip.org/articles/detailed/219bd012d74c75756eb8340db1aa8b40/5-steps-for-a-robust-energy-strategy,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/219bd012d74c75756eb8340db1aa8b40/5-steps-for-a-robust-energy-strategy
