article_id;title;speaking_url
1;Test 1;nc/news-articles-energy-efficiency-in-industrial-processes/?tx_neustanews_newsoverview%5Baction%5D=articleExtend&tx_neustanews_newsoverview%5Bcontroller%5D=News
1;Test 1;nc/articles/?tx_neustanews_newsoverview%5Baction%5D=articleExtend&tx_neustanews_newsoverview%5Bcontroller%5D=News
12;Bridging the industrial heat divide;articles/detailed/8060556a481e48e98500947a3181459e/bridging-the-industrial-heat-divide/
20;EUSEW 2016 - energy efficiency awards;articles/detailed/705c0f213a2e54bd46d6a741aae3e052/eusew-2016-energy-efficiency-awards/
21;How much can energy management actually save?;articles/detailed//how-much-can-energy-management-actually-save/
21;How much can energy management actually save?;articles/detailed/d7a9e747d6ce8ad8e270d0407a865402/how-much-can-energy-management-actually-save/
22;All eyes on China’s 13th Five-Year Plan for energy;articles/detailed//all-eyes-on-chinas-13th-five-year-plan-for-energy/
22;All eyes on China’s 13th Five-Year Plan for energy;articles/detailed/84c4ccca0d7506c9f25b2e3d1242ef20/all-eyes-on-chinas-13th-five-year-plan-for-energy/
22;All eyes on China’s 13th Five-Year Plan for energy;articles/detailed//all-eyes-on-chinas-13th-five-year-plan-for-energy/?amp%3BcHash=84c4ccca0d7506c9f25b2e3d1242ef20
23;EEIP at Turkish Energy Efficiency Week;articles/detailed/f3167cf1c3d2ccac1b353e306a97563d/eeip-at-turkish-energy-efficiency-week/
24;US: Energy efficiency gets a boost under Obama;articles/detailed/05acd98f42233ae50e097eb80f49a5b9/us-energy-efficiency-gets-a-boost-under-obama/
25;Calling All Global Leaders in Clean Energy;articles/detailed/0ba5e5a3c563e5ca187dd6df477d19e8/calling-all-global-leaders-in-clean-energy/
26;Nominated - Energy Efficiency Award "PERPETUUM 2016";articles/detailed/500a601af42a2ab438c3b60bd74329a1/nominated-energy-efficiency-award-perpetuum-2016/
26;Nominated - Energy Efficiency Award "PERPETUUM 2016";articles/detailed//nominated-energy-efficiency-award-perpetuum-2016/
27;45% TCO - Industrial Pumps Fight for Efficiency : Part 3/4;articles/detailed//45-tco-industrial-pumps-fight-for-efficiency-part-34/
27;45% TCO - Industrial Pumps Fight for Efficiency : Part 3/4;articles/detailed/2298e54c1e16caab060770361d796334/45-tco-industrial-pumps-fight-for-efficiency-part-34/
